1,inserção,mesa,100100,Sem bloqueio,20/06/2019 23:29:39
1,inserção,salvou,20/06/2019 23:29:56
1,inserção,salvou,20/06/2019 23:30:14
1,inserção,inseriu 100340 - Caneta,Caneta,100340,22/06/2019 10:50:17
1,inserção,inseriu 200100 - Lápis,Lápis,200100,22/06/2019 11:07:08
1,inserção,inseriu 200190 - Bloco de notas,Bloco de notas,200190,22/06/2019 11:35:18
1,edição,atualiazou1005-00 - Note para 100300 - note,Note,1005-00,22/06/2019 20:04:59
1,edição,atualiazou5100200 - Cadeira para 100200 - cadeira,Cadeira,5100200,22/06/2019 20:20:30
1,edição,atualiazou5100200 - Cadeira para 100200 - cadeira,Cadeira,5100200,22/06/2019 20:21:40
1,edição,atualiazou5100200 - Cadeira para 100200 - cadeira,Cadeira,5100200,22/06/2019 20:22:04
1,edição,atualiazou5100200 - Cadeira para 100200 - cadeira,Cadeira,5100200,22/06/2019 20:22:36
1,edição,atualiazou5100200 - Cadeira para 100200 - cadeira,Cadeira,5100200,22/06/2019 20:23:16
1,edição,atualiazou5100200 - Cadeira para 100200 - cadeira,Cadeira,5100200,22/06/2019 20:23:30
1,edição,atualiazou5100200 - Cadeira para 100200 - cadeira,Cadeira,5100200,22/06/2019 20:26:56
1,edição,atualiazou5100200 - Cadeira para 100200 - cadeira,Cadeira,5100200,22/06/2019 20:28:00
1,edição,atualiazou5100200 - Cadeira para 100200 - cadeira,Cadeira,5100200,22/06/2019 20:28:09
1,edição,atualiazou5100200 - Cadeira para 100200 - cadeira,Cadeira,5100200,22/06/2019 20:28:50
1,edição,atualiazou5100200 - Cadeira para 100200 - cadeira,Cadeira,5100200,22/06/2019 20:29:13
1,edição,atualiazou5100200 - Cadeira para 100200 - cadeira,Cadeira,5100200,22/06/2019 20:29:21
1,edição,atualiazou5100200 - Cadeira para 100200 - cadeira,Cadeira,5100200,22/06/2019 20:31:00
1,edição,atualiazou5100200 - Cadeira para 100200 - cadeira,Cadeira,5100200,22/06/2019 20:38:15
1,edição,atualiazou500200 - Cadeira para 100200 - cadeira,Cadeira,500200,22/06/2019 20:39:39
1,edição,atualiazou800300 - Note para 100300 - note,Note,800300,22/06/2019 20:40:39
1,edição,atualiazou800300 - Note para 100300 - note,Note,800300,22/06/2019 20:41:02
1,edição,atualiazou800300 - Note para 100300 - note,Note,800300,22/06/2019 20:41:32
1,edição,atualiazou100200 - cadeira para 100200 - cadeira,cadeira,100200,22/06/2019 21:36:32
1,edição,atualiazou700300 - Note para 100300 - note,Note,700300,22/06/2019 21:36:46
1,edição,atualiazou700300 - Note para 100300 - note,Note,700300,22/06/2019 21:38:09
1,edição,atualiazou700300 - Note para 100300 - note,Note,700300,22/06/2019 21:38:47
1,edição,atualiazou700300 - Note para 100300 - note,Note,700300,22/06/2019 21:39:09
1,edição,atualiazou100100 - esa para 100100 - mesa,esa,100100,22/06/2019 21:39:56
1,edição,atualiazou100100 - esa para 100100 - mesa,esa,100100,22/06/2019 21:40:19
1,edição,atualiazou100100 - esa para 100100 - mesa,esa,100100,22/06/2019 21:40:37
1,edição,atualiazou100100 - esa para 100100 - mesa,esa,100100,22/06/2019 21:40:49
1,edição,atualiazou100100 - esa para 100100 - mesa,esa,100100,22/06/2019 21:41:01
1,edição,atualiazou100100 - mesa para 100100 - mesa,mesa,100100,22/06/2019 21:42:22
1,edição,atualiazou700300 - Note para 100300 - note,Note,700300,22/06/2019 22:14:48
1,edição,atualiazou800100 - Mesa para 100100 - mesa,Mesa,800100,22/06/2019 22:15:10
1,edição,atualiazou800100 - Mesa para 100100 - mesa,Mesa,800100,22/06/2019 22:16:20
1,edição,atualiazou800100 - Mesa para 100100 - mesa,Mesa,800100,22/06/2019 22:19:14
1,edição,atualiazou800 - MESA para 100100 - mesa,MESA,800,22/06/2019 22:34:40
1,edição,atualiazou800 - MESA para 100100 - mesa,MESA,800,22/06/2019 22:34:59
1,edição,atualiazou800 - MESA para 100100 - mesa,MESA,800,22/06/2019 22:35:52
1,edição,atualiazou800 - MESA para 100100 - mesa,MESA,800,22/06/2019 22:49:56
1,edição,atualiazou800 - MESA para 400 - mesa,MESA,800,22/06/2019 22:52:50
1,edição,atualiazou550 - MESA DE CANTO para 400 - MESA,MESA DE CANTO,550,22/06/2019 22:53:27
1,edição,atualiazou200100 - MESA DE CANTO para 400 - MESA DE CANTO,MESA DE CANTO,200100,22/06/2019 22:54:12
1,edição,atualiazou45 - MESA DE CANTO para 400 - MESA DE CANTO,MESA DE CANTO,45,22/06/2019 22:55:05
1,edição,atualiazou45 - MESA DE CANTO para 400 - MESA DE CANTO,MESA DE CANTO,45,22/06/2019 22:55:25
1,edição,atualiazou45 - MESA DE CANTO para 400 - MESA DE CANTO,MESA DE CANTO,45,22/06/2019 22:56:19
1,edição,atualiazou600 - MESA DE CANTO para 400 - MESA DE CANTO,MESA DE CANTO,600,22/06/2019 22:56:51
1,edição,atualiazou600 - MESA DE CANTO para 400 - MESA DE CANTO,MESA DE CANTO,600,22/06/2019 22:57:45
1,edição,atualiazou1000500 - MESA DE CANTO para 400 - MESA DE CANTO,MESA DE CANTO,1000500,22/06/2019 22:58:32
1,edição,atualiazou5 - MESA DE CANTO para 400 - MESA DE CANTO,MESA DE CANTO,5,22/06/2019 22:59:38
1,edição,atualiazou650 - MESA DE para 400 - MESA DE CANTO,MESA DE,650,22/06/2019 23:04:58
1,edição,atualiazou650 - MESA DE para 400 - MESA DE CANTO,MESA DE,650,22/06/2019 23:05:52
1,edição,atualiazou650 - MESA DE para 400 - MESA DE CANTO,MESA DE,650,22/06/2019 23:06:31
1,edição,atualiazou100 - MESA para 400 - MESA DE CANTO,MESA,100,22/06/2019 23:07:28
1,edição,atualiazou100 - MESA para 400 - MESA DE CANTO,MESA,100,22/06/2019 23:09:06
1,edição,atualiazou100 - MESA para 400 - MESA DE CANTO,MESA,100,22/06/2019 23:10:06
1,edição,atualiazou100 - MESA para 400 - MESA DE CANTO,MESA,100,22/06/2019 23:10:48
1,edição,atualiazou400 - MESA DE para 400 - MESA DE CANTO,MESA DE,400,22/06/2019 23:11:12
1,edição,atualiazou300 - MESA para 400 - MESA DE CANTO,MESA,300,22/06/2019 23:12:09
1,edição,atualiazou300 - MESA para 400 - MESA DE CANTO,MESA,300,22/06/2019 23:13:10
1,edição,atualiazou960 - MESA para 400 - MESA DE CANTO,MESA,960,22/06/2019 23:15:39
1,edição,atualiazou960 - MESA para 400 - MESA DE CANTO,MESA,960,22/06/2019 23:28:55
1,edição,atualiazou400 - ABAJUR para 400 - MESA DE CANTO,ABAJUR,400,22/06/2019 23:30:44
1,edição,atualiazou400 - ABAJUR para 400 - MESA DE CANTO,ABAJUR,400,22/06/2019 23:31:45
1,edição,atualiazou400 - ABAJUR para 400 - MESA DE CANTO,ABAJUR,400,22/06/2019 23:32:52
1,edição,atualiazou400 - ABAJUR para 400 - MESA DE CANTO,ABAJUR,400,22/06/2019 23:36:13
1,edição,atualiazou400 - MESA para 400 - MESA DE CANTO,MESA,400,22/06/2019 23:39:11
1,edição,atualiazou400 - MESA para 400 - MESA DE CANTO,MESA,400,22/06/2019 23:41:03
1,edição,atualiazou400 - MESA para 400 - MESA DE CANTO,MESA,400,22/06/2019 23:41:40
1,edição,atualiazou5 - MESA para 400 - MESA DE CANTO,MESA,5,22/06/2019 23:42:11
1,edição,atualiazou5 - MESA para 400 - MESA DE CANTO,MESA,5,22/06/2019 23:42:47
1,edição,atualiazou5 - MESA para 400 - MESA DE CANTO,MESA,5,22/06/2019 23:44:02
1,edição,atualiazou850 - CADEIRA para 400 - MESA DE CANTO,CADEIRA,850,22/06/2019 23:45:25
1,edição,atualiazou960 - MESA para 400 - MESA DE CANTO,MESA,960,22/06/2019 23:46:00
1,edição,atualiazou1000 - MESA DE BAR para 960 - MESA,MESA DE BAR,1000,22/06/2019 23:50:13
1,edição,atualiazou960 - MESA DE BICO para 960 - MESA,MESA DE BICO,960,23/06/2019 00:00:14
1,edição,atualiazou960 - MESA DE BICO para 960 - MESA,MESA DE BICO,960,23/06/2019 00:00:37
1,edição,atualiazou100100 - mesa para 100100 - mesa,mesa,100100,23/06/2019 00:02:00
1,edição,atualiazou985 - MESA grande para 960 - MESA,MESA grande,985,23/06/2019 00:02:13
1,edição,atualiazou985 - MESA grande para 960 - MESA,MESA grande,985,23/06/2019 00:02:49
1,inserção,inseriu 850200 - Cadeirinha,Cadeirinha,850200,23/06/2019 00:04:57
1,inserção,inseriu 950052 - TECLADO,TECLADO,950052,23/06/2019 00:05:11
1,edição,atualiazou50000 - MESA D E BOTAO para 960 - MESA,MESA D E BOTAO,50000,23/06/2019 00:05:30
1,edição,atualiazou960 - MESA de bico para 960 - MESA,MESA de bico,960,23/06/2019 00:07:08
1,edição,atualiazou520 - MESINHA para 960 - MESA de bico,MESINHA,520,23/06/2019 00:07:28
1,edição,atualiazou960 - MESA de para 960 - MESA,MESA de,960,23/06/2019 00:17:45
1,edição,atualiazou960 - MESA de para 960 - MESA,MESA de,960,23/06/2019 00:18:36
1,edição,atualiazou960 - MESA de para 960 - MESA,MESA de,960,23/06/2019 00:30:59
1,edição,atualiazou960 - MESA para 960 - MESA,MESA,960,23/06/2019 00:31:08
1,inserção,inseriu 10220 - mesa,mesa,10220,23/06/2019 00:40:39
1,inserção,inseriu 300100 - cadeira,cadeira,300100,23/06/2019 00:40:51
1,edição,atualiazou500 - MESA para 10220 - mesa,MESA,500,23/06/2019 00:41:02
1,edição,atualiazou500 - MESA para 10220 - mesa,MESA,500,23/06/2019 00:42:50
1,edição,atualiazou500 - MESA para 10220 - mesa,MESA,500,23/06/2019 00:43:08
1,edição,atualiazou500 - MESA para 10220 - mesa,MESA,500,23/06/2019 00:44:36
1,edição,atualiazou500 - MONITOR para 300100 - cadeira,MONITOR,500,23/06/2019 00:44:57
1,edição,atualiazou43 - veeve para 300100 - cadeira,veeve,43,23/06/2019 00:46:25
1,edição,atualiazou500 - cadeira para 300100 - cadeira,cadeira,500,23/06/2019 00:47:38
1,edição,atualiazou500 - cadeira para 300100 - cadeira,cadeira,500,23/06/2019 00:49:20
1,edição,atualiazou300100 - gsdgdsg para 300100 - cadeira,gsdgdsg,300100,23/06/2019 00:49:47
1,edição,atualiazou300100 - gsdgdsg para 300100 - cadeira,gsdgdsg,300100,23/06/2019 00:50:07
1,edição,atualiazou300100 - gsdgdsg para 300100 - cadeira,gsdgdsg,300100,23/06/2019 00:52:13
1,edição,atualiazou300100 - gsdgdsg para 300100 - cadeira,gsdgdsg,300100,23/06/2019 00:53:19
